Rank	CNG	Prospect	College	P1	Ht	Wt	Elig	DR
258	player up arrow ranking+35	Cam'Ron Jackson	Florida	DL1T	6'6"	342	SR	SR
259	--	Jacob Gardner	Colorado State	OC	6'4"	300	GR	DRO
260	--	Michael Taaffe	Texas	S	6'0"	195	RJR	
261	--	Nate Noel	Missouri	RB	5'10"	190	SR	
262	--	Weston Franklin	Georgia Tech	OC	6'4"	310	SR	
263	--	Davin Vann	NC State	DL5T	6'2"	280	RSR	HU
264	--	Gerad Christian-Lichtenhan	Oregon State	OT	6'9"	329	RSR	SH
265	player up arrow ranking+10	Sai'Vion Jones	LSU	DL5T	6'6"	280	SR	SR
266	--	Francisco Mauigoa	Miami	ILB	6'2"	230	SR	SH
267	--	Jasheen Davis	Wake Forest	EDGE	6'3"	260	RSR	HU
268	player up arrow ranking+15	Oluwafemi Oladejo	UCLA	EDGE	6'3"	250	SR	SR
269	--	Addison West	Western Michigan	OG	6'3"	305	RSR	HU
270	 NEW	LeQuint Allen Jr.	Syracuse	RB	6'0"	201	JR	SH
271	player up arrow ranking+15	Jared Harrison-Hunte	SMU	DL5T	6'4"	294	RSR	SH
272	--	Keleki Latu	Washington	TE	6'7"	244	SR	HU
273	--	Eli Cox	Kentucky	OC	6'4"	311	RSR	HU
274	--	Dont'e Thornton Jr.	Tennessee	WR	6'4"	214	SR	SH
275	--	Teddye Buchanan	California	ILB	6'2"	235	SR	SH
276	--	Cam Miller	Penn State	CB	6'0"	183	JR	
277	player up arrow ranking+50	Da'Quan Felton	Virginia Tech	WR	6'5"	215	GR	SR
278	--	Andres Borregales	Miami (FL)	PK	5'11"	170	SR	SH
279	--	John Campbell Jr.	Tennessee	OT	6'5"	320	RSR	DRO
280	--	Marcus Yarns	Delaware	RB	5'11"	190	GR	SR
281	player up arrow ranking+50	Garrett Dellinger	LSU	OG	6'5"	325	SR	SR
282	--	Jimmy Horn Jr.	Colorado	WRS	5'10"	170	SR	SH
283	--	Will Rogers	Washington	QB	6'2"	215	SR	
284	--	Jeffrey Bassa	Oregon	ILB	6'1"	235	SR	SR
285	--	Fadil Diggs	Syracuse	EDGE	6'5"	261	SR	SH
286	--	Bhayshul Tuten	Virginia Tech	RB	5'11"	209	SR	SR
287	--	Aaron Smith	South Carolina State	ILB	6'2"	230	GR	SH
288	--	Demetrius Knight Jr.	South Carolina	ILB	6'2"	245	RSR	SR
289	--	KeAndre Lambert-Smith	Auburn	WR	661"	182	SR	SH
290	--	Samuel Brown	Miami (FL)	WR	6'2"	195	RJR	SH
291	 NEW	Lamareon James	TCU	CBN	5'10"	190	SR	DRO
292	--	Moose Muhammad III	Texas A&M	WR	6'1"	205	SR	DRO
293	--	Zeek Biggers	Georgia Tech	DL3T	6'6"	320	SR	SH
294	player up arrow ranking+180	Jah Joyner	Minnesota	EDGE	6'5"	265	RSR	SR
295	--	De'Rickey Wright	Vanderbilt	S	6'4"	229	GR	SH
296	--	Brandon Crenshaw-Dickson	Florida	OT	6'6"	322	RSR	SH
297	--	Bryce Cabeldue	Kansas	OT	6'6"	315	SR	SH
298	--	Michael Ford Jr.	Kansas	OG	6'3"	305	RSR	
299	player up arrow ranking+50	Caleb Rogers	Texas Tech	OL	6'5"	310	RSR	SR
300	--	Bilhal Kone	Western Michigan	CB	6'2"	190	RSR	SH
301	--	Amari Kight	Central Florida	OT	6'7"	318	RSR	HU
302	--	Ben Sauls	Pittsburgh	PK	5'10"	185	RSR	SH
303	--	Steve Linton	Baylor	EDGE	6'5"	235	RSR	
304	--	Ja'Quinden Jackson	Arkansas	RB	6'2"	233	RSR	SH
305	--	DeShon Singleton	Nebraska	S	6'3"	210	SR	SH
306	--	Elijhah Badger	Florida	WR	6'1"	192	RSR	HU
307	--	Andrew Armstrong	Arkansas	WR	6'4"	202	RSR	DRO
308	player up arrow ranking+100	Tyler Shough	Louisville	QB	6'5"	225	RSR	SR
309	--	J.J. Pegues	Ole Miss	DL3T	6'2"	315	RSR	
310	--	Trey Wedig	Indiana	OL	6'7"	319	RSR	SH
311	--	Carson Vinson	Alabama A&M	OT	6'6"	305	SR	SR
312	--	Corey Thornton	Louisville	CB	6'1"	195	SR	SH
313	--	Kydran Jenkins	Purdue	OLB	6'1"	253	SR	
314	--	David Gbenda	Texas	OLB	5'11"	235	RSR	
315	--	Johnathan Baldwin	UNLV	CBN	6'1"	200	SR	
316	--	Mario Williams	Tulane	WRS	5'9"	180	SR	
317	--	Mac McWilliams	UCF	CBN	5'10"	185	RSR	SR
318	player up arrow ranking+100	Bru McCoy	Tennessee	WR	6'3"	220	RSR	SR
319	--	Kyonte Hamilton	Rutgers	DL3T	6'4"	304	RSR	HU
320	--	Akili Arnold	USC	S	6'0"	200	RSR	
321	--	Tre Stewart	Jacksonville State	RB	5'10"	192	SR	
322	--	Marcus Harris	California	CBN	5'11"	190	RSR	SH
323	--	Cam Stone	Hawaii	CBN	5'10"	200	RSR	HU
324	--	Nash Jones	Texas State	DL5T	6'5"	320	SR	SH
325	--	Reuben Fatheree II	Texas A&M	OT	6'7"	325	SR	
326	player up arrow ranking+150	Kyle Williams	Washington State	WR	6'0"	186	RSR	SR
327	--	Keondre Jackson	Illinois State	S	6'3"	215	SR	HU
328	--	Dorian Singer	Utah	WR	6'0"	180	SR	
329	player up arrow ranking+100	Jalen Rivers	Miami (FL)	OG	6'5"	325	RJR	SR
330	--	Brendan Mott	Kansas State	EDGE	6'5"	244	RSR	DRO
331	--	Trevor Etienne	Georgia	RB	5'9"	205	JR	
332	--	Jordan Oladokun	Bowling Green	CB	6'0"	190	SR	HU
333	--	Jackson Meeks	Syracuse	WR	6'2"	210	SR	DRO
334	--	Daniel Jackson	Minnesota	WR	6'0"	200	RSR	SH
335	--	Jordan James	Oregon	RB	5'9"	205	JR	DRU
336	--	Cam Lockridge	Fresno State	CB	6'0"	182	SR	DRO
337	--	William Wagner	Michigan	LS	6'2"	245	SR	SR
338	--	Amari Jackson	Boston College	CB	5'10"	190	RJR	HU
339	player up arrow ranking+60	Jalen Travis	Iowa State	OT	6'7"	340	RSR	SR
340	--	Efton Chism III	Eastern Washington	WR	5'11"	200	RSR	HU
341	--	Caden Davis	Ole Miss	PK	6'2"	210	SR	SR
342	--	J.J. Weaver	Kentucky	EDGE	6'5"	244	RSR	HU
343	--	Clarence Lewis	Syracuse	CB	5'11"	192	SR	DRO
344	--	Jackson Slater	Sacramento State	OG	6'4"	316	SR	SR
345	--	Power Echols	North Carolina	ILB	6'0"	225	SR	HU
346	--	Dillon Bell	Georgia	WR	6'1"	210	JR	
347	--	Bryce Benhart	Nebraska	OT	6'9"	315	RSR	
348	--	LaJohntay Wester	Colorado	WR	5'11"	167	SR	SH
349	--	Willie Lampkin	North Carolina	OG	6'1"	285	SR	
350	--	Konata Mumpfield	Pittsburgh	WR	6'0"	185	RSR	SH
351	--	Marcus Harper II	Oregon	OG	6'3"	305	RSR	
352	--	Luke Newman	Michigan State	OG	6'5"	315	RSR	SH
353	--	Beaux Collins	Notre Dame	WR	6'2"	210	SR	
354	--	Roc Taylor	Memphis	WR	6'3"	215	SR	HU
355	--	Jordan Clark	Notre Dame	CBN	5'10"	182	GR	SH
356	--	K.C. Ossai	Louisiana	ILB	6'1"	244	SR	
357	--	Trikweze Bridges	Florida	CB	6'2"	200	RSR	HU
358	--	Austin Brinkman	West Virginia	LS	6'4"	241	SR	SH
359	--	Tyreek Chappell	Texas A&M	CBN	5'10"	180	SR	
360	player up arrow ranking+69	Rayuan Lane III	Navy	S	5'11"	197	SR	SR
361	--	Jahmal Banks	Nebraska	WR	6'4"	220	RSR	
362	--	Marques Cox	Kentucky	OT	6'5"	311	RSR	DRO
363	--	Brennan Presley	Oklahoma State	WRS	5'8"	175	RSR	
364	--	Greg Penn III	LSU	ILB	6'2"	234	SR	SH
365	--	Moliki Matavao	UCLA	TE	6'6"	263	SR	SR
366	--	Zion Childress	Kentucky	S	6'0"	190	SR	HU
367	--	Fentrell Cypress II	Florida State	CBN	5'11"	182	RSR	HU
368	--	Brady Cook	Missouri	QB	6'2"	205	RJR	HU
369	--	Ethan Downs	Oklahoma	EDGE	6'4"	265	SR	SH
370	--	Jackson Hawes	Georgia Tech	TE	6'5"	260	RSR	SR
371	--	Jonathan Mendoza	Louisville	OT	6'8"	308	RSR	
372	--	Robert Longerbeam	Rutgers	CBN	5'11"	178	RSR	SH
373	 NEW	Malik Verdon	Iowa State	S	6'4"	220	RJR	SR
374	--	Giovanni El-Hadi	Michigan	OG	6'5"	310	RJR	
